hero_product_id,hero_product_name,combo_product_ids,other_product_count,orders_with_combo,total_orders_with_hero,pct_of_hero_orders,avg_basket_hero_alone,avg_basket_with_combo,pct_basket_value_uplift,freq_uplift_score
34,"EcoWare Fashion Item 34","165,272,291",3,1,132,0.76,5987.44,24273.25,305.4,305.4
34,"EcoWare Fashion Item 34","7,71,112",3,1,132,0.76,5987.44,21756.19,263.36,263.36
34,"EcoWare Fashion Item 34","71,148,161",3,1,132,0.76,5987.44,21532.13,259.62,259.62
34,"EcoWare Fashion Item 34","72,88,245",3,1,132,0.76,5987.44,20327.62,239.5,239.5
34,"EcoWare Fashion Item 34","135,203,229",3,1,132,0.76,5987.44,20280.15,238.71,238.71
34,"EcoWare Fashion Item 34","15,58,171",3,1,132,0.76,5987.44,20047.2,234.82,234.82
34,"EcoWare Fashion Item 34","196,216,237",3,1,132,0.76,5987.44,19287.87,222.14,222.14
34,"EcoWare Fashion Item 34","117,203,249",3,1,132,0.76,5987.44,19173.76,220.23,220.23
34,"EcoWare Fashion Item 34","130,188,225",3,1,132,0.76,5987.44,19124.72,219.41,219.41
34,"EcoWare Fashion Item 34","118,229,269",3,1,132,0.76,5987.44,18835.65,214.59,214.59
34,"EcoWare Fashion Item 34",203,1,1,132,0.76,5987.44,18793.9,213.89,213.89
34,"EcoWare Fashion Item 34","80,297",2,1,132,0.76,5987.44,18777.96,213.62,213.62
34,"EcoWare Fashion Item 34","151,159",2,1,132,0.76,5987.44,18734.43,212.9,212.9
34,"EcoWare Fashion Item 34","139,162,205",3,1,132,0.76,5987.44,18440.93,207.99,207.99
34,"EcoWare Fashion Item 34","199,277",2,1,132,0.76,5987.44,18366.43,206.75,206.75
34,"EcoWare Fashion Item 34","59,124,203",3,1,132,0.76,5987.44,17304.07,189.01,189.01
34,"EcoWare Fashion Item 34","121,209",2,1,132,0.76,5987.44,17230.77,187.78,187.78
34,"EcoWare Fashion Item 34","8,185,240",3,1,132,0.76,5987.44,17035.18,184.52,184.52
34,"EcoWare Fashion Item 34","31,96,276",3,1,132,0.76,5987.44,16146.57,169.67,169.67
34,"EcoWare Fashion Item 34","82,187,223",3,1,132,0.76,5987.44,16006.65,167.34,167.34
34,"EcoWare Fashion Item 34","35,117,177",3,1,132,0.76,5987.44,15962.07,166.59,166.59
34,"EcoWare Fashion Item 34","80,229,238",3,1,132,0.76,5987.44,15895.86,165.49,165.49
34,"EcoWare Fashion Item 34","66,189,218",3,1,132,0.76,5987.44,15373.66,156.77,156.77
34,"EcoWare Fashion Item 34","164,227,288",3,1,132,0.76,5987.44,15287.21,155.32,155.32
34,"EcoWare Fashion Item 34","39,135,193",3,1,132,0.76,5987.44,14849.69,148.01,148.01
34,"EcoWare Fashion Item 34","29,60,167",3,1,132,0.76,5987.44,14791.16,147.04,147.04
34,"EcoWare Fashion Item 34","142,152,233",3,1,132,0.76,5987.44,14775.78,146.78,146.78
34,"EcoWare Fashion Item 34","95,173,213",3,1,132,0.76,5987.44,14639.62,144.51,144.51
34,"EcoWare Fashion Item 34","26,251,289",3,1,132,0.76,5987.44,14586.1,143.61,143.61
34,"EcoWare Fashion Item 34","57,187",2,1,132,0.76,5987.44,14439.99,141.17,141.17
34,"EcoWare Fashion Item 34","55,128,199",3,1,132,0.76,5987.44,14255.34,138.09,138.09
34,"EcoWare Fashion Item 34","131,158,171",3,1,132,0.76,5987.44,14234.24,137.73,137.73
34,"EcoWare Fashion Item 34","93,139",2,1,132,0.76,5987.44,14197.46,137.12,137.12
34,"EcoWare Fashion Item 34","6,58,133",3,1,132,0.76,5987.44,14084.21,135.23,135.23
34,"EcoWare Fashion Item 34",120,1,1,132,0.76,5987.44,14033.16,134.38,134.38
34,"EcoWare Fashion Item 34","132,163,238",3,1,132,0.76,5987.44,13978.52,133.46,133.46
34,"EcoWare Fashion Item 34","241,292",2,1,132,0.76,5987.44,13967.69,133.28,133.28
34,"EcoWare Fashion Item 34","85,180",2,1,132,0.76,5987.44,13958.58,133.13,133.13
34,"EcoWare Fashion Item 34","4,155",2,1,132,0.76,5987.44,13952.35,133.03,133.03
34,"EcoWare Fashion Item 34","190,195,201",3,1,132,0.76,5987.44,13915.47,132.41,132.41
34,"EcoWare Fashion Item 34","59,109",2,1,132,0.76,5987.44,13671.97,128.34,128.34
34,"EcoWare Fashion Item 34","13,99",2,1,132,0.76,5987.44,13662.48,128.19,128.19
34,"EcoWare Fashion Item 34","64,178",2,1,132,0.76,5987.44,13532.12,126.01,126.01
34,"EcoWare Fashion Item 34","147,191,265",3,1,132,0.76,5987.44,13496.43,125.41,125.41
